,,,,
Id,featureKey,question_pt,question_en,category
1,isTopOilProducer,Este país está entre os 15 maiores produtores de petróleo do mundo?,Is this country among the 15 largest oil producers in the world?,ECONOMIA
2,hasTop10GDP,Este país possui um dos 10 maiores PIBs nominais do mundo?,Does this country have one of the 10 largest nominal GDPs in the world?,ECONOMIA
3,populationOver200M,Este país tem mais de 200 milhões de habitantes?,Does this country have more than 200 million inhabitants?,DEMOGRAFIA
4,hasNuclearWeapons,Este país possui armas nucleares reconhecidas?,Does this country possess recognized nuclear weapons?,POLITICA
5,isOecdMember,Este país é membro da OCDE?,Is this country a member of the OECD?,POLITICA
6,isHighIncomePpp,Este país é classificado como de alta renda pelo Banco Mundial?,Is this country classified as high-income by the World Bank?,ECONOMIA
7,populationDensityHigh,Este país tem mais de 100 habitantes por km²?,Does this country have more than 100 inhabitants per km²?,DEMOGRAFIA
8,bordersAtlantic,Este país tem costa no Oceano Atlântico?,Does this country have a coastline on the Atlantic Ocean?,GEOGRAFIA
9,bordersIndianOcean,Este país tem costa no Oceano Índico?,Does this country have a coastline on the Indian Ocean?,GEOGRAFIA
10,bordersPacific,Este país tem costa no Oceano Pacífico?,Does this country have a coastline on the Pacific Ocean?,GEOGRAFIA
11,bordersBaltic,Este país é banhado pelo Mar Baltico,Does this country have a coastline on the Baltic Sea?,GEOGRAFIA
12,bordersBlackSea,Este país é banhado pelo Mar Negro?,Does this country have a coastline on the Black Sea?,GEOGRAFIA
13,hasDesert,Este país possui uma região desertica ?,Does this country have a desert region?,GEOGRAFIA
14,bordersAnotherContinent,Este país faz fronteira terrestre com pelo menos um país de continente diferente?,Does this country share a land border with at least one country from a different continent?,GEOGRAFIA
15,isAfrica,Este país fica na África?,Is this country in Africa?,GEOGRAFIA
16,isEurope,Este país fica na Europa?,Is this country in Europe?,GEOGRAFIA
17,isAsia,Este país fica na Ásia?,Is this country in Asia?,GEOGRAFIA
18,isAmericas,Este país fica nas Américas?,Is this country in the Americas?,GEOGRAFIA
19,isOceania,Este país fica na Oceania?,Is this country in Oceania?,GEOGRAFIA
20,isSubSaharanAfrica,Este país fica na África Subsaariana?,Is this country in Sub-Saharan Africa?,GEOGRAFIA
21,isWestAfrica,Este país fica na África Ocidental?,Is this country in West Africa?,GEOGRAFIA
22,isEastAfrica,Este país fica na África Oriental?,Is this country in East Africa?,GEOGRAFIA
23,isNorthAfrica,Este país fica no Norte de África?,Is this country in North Africa?,GEOGRAFIA
24,isSouthernAfrica,Este país fica no Sul de África?,Is this country in Southern Africa?,GEOGRAFIA
25,isCentralAfrica,Este país fica na África Central?,Is this country in Central Africa?,GEOGRAFIA
26,isCaribbean,Este país fica no Caribe?,Is this country in the Caribbean?,GEOGRAFIA
27,isMiddleEast,Este país fica na Ásia Ocidental (Oriente Médio)?,Is this country in Western Asia (Middle East)?,GEOGRAFIA
28,isSoutheastAsia,Este país fica no Sudeste Asiático?,Is this country in Southeast Asia?,GEOGRAFIA
29,isCentralAsia,Este país fica na Ásia Central?,Is this country in Central Asia?,GEOGRAFIA
30,isSouthAsia,Este país fica no Sul da Ásia?,Is this country in South Asia?,GEOGRAFIA
31,isEastAsia,Este país fica no Leste Asiático?,Is this country in East Asia?,GEOGRAFIA
32,isSouthernEurope,Este país fica no Sul da Europa?,Is this country in Southern Europe?,GEOGRAFIA
33,isEasternEurope,Este país fica no Leste da Europa?,Is this country in Eastern Europe?,GEOGRAFIA
34,isNorthernEurope,Este país fica no Norte da Europa?,Is this country in Northern Europe?,GEOGRAFIA
35,isSouthAmerica,Este país fica na América do Sul?,Is this country in South America?,GEOGRAFIA
36,isNorthAmerica,Este país fica na América do Norte?,Is this country in North America?,GEOGRAFIA
37,isCentralAmerica,Este país fica na América Central?,Is this country in Central America?,GEOGRAFIA
38,isLandlocked,Este país não possui saída para o mar (landlocked)?,Is this country landlocked?,GEOGRAFIA
39,isIsland,Este país é uma ilha ou nação insular?,Is this country an island nation?,GEOGRAFIA
40,hasFiveOrMoreBorders,O país faz fronteira terrestre com 5 ou mais países ?,Does this country border 5 or more countries?,GEOGRAFIA
41,bordersRussia,Este país faz fronteira com a Rússia?,Does this country share a border with Russia?,GEOGRAFIA
42,bordersChina,Este país faz fronteira com a China?,Does this country share a border with China?,GEOGRAFIA
43,isNorthernHemisphere,Este país fica no hemisfério norte?,Is this country in the Northern Hemisphere?,GEOGRAFIA
44,isSouthernHemisphere,Este país fica no hemisfério sul ?,Is this country in the Southern Hemisphere?,GEOGRAFIA
